Product Name,SKU,Packaging,Selling Price,Cost Price,GST
Paneer Buttter Gravy,100 gm,Jar,119.99,119.99,5%
Paneer -Do Pyaja Gravy,100 gm,Jar,119.99,119.99,5%
Shahi Paneer Gravy,100 gm,Jar,149.99,149.99,5%
Kadhai Paneer Gravy,100 gm,Jar,119.99,119.99,5%
Methi Malai Mutter Gravy,100 gm,Jar,149.99,149.99,5%
Veg Lababdar Gravy,100 gm,Jar,119.99,119.99,5%
Mashroom Masala Gravy,100 gm,Jar,119.99,119.99,5%
Malai Kofta Gravy,100 gm,Jar,149.99,149.99,5%
Veg Kofta Gravy,100 gm,Jar,119.99,119.99,5%
Butter Chicken Gravy ,100 gm,Jar,119.99,119.99,5%
Chicken Lababdar Gravy,100 gm,Jar,119.99,149.99,5%
Egg Curry Gravy,100 gm,Jar,119.99,119.99,5%
Prowns Curry Gravy,100 gm,Jar,119.99,149.99,5%
Fish Curry Gravy,100 gm,Jar,149.99,119.99,5%
Mutton Kadhai Gravy,100 gm,Jar,119.99,119.99,5%
Mutton -Do Pyaja Gravy,100 gm,Jar,119.99,149.99,5%
Mutton Curry Gravy,100 gm,Jar,119.99,119.99,5%
